,Glucose,Ethanol,Acetate,Maltose
YMR035W,0.03123,0.01443,0.01208,0.01262
YMR036C,0.01663,0.00459,0.00459,0.00587
YMR037C,0.03467,0.00896,0.00685,0.01585
YMR038C,0.11075,0.02581,0.02025,0.04193
YMR039C,0.05661,0.01657,0.01789,0.02890
YMR040W,0.02193,0.00993,0.00970,0.01493
YMR041C,0.03318,0.01631,0.01221,0.01475
YML003W,0.00057,0.00044,0.00016,0.00033
YML002W,0.00824,0.00405,0.00336,0.00416
YML001W,0.10461,0.04006,0.03885,0.03443
YMR001C,0.04141,0.01150,0.00975,0.01224
YMR002W,0.59737,0.16200,0.18573,0.22831
YMR003W,0.09917,0.03780,0.03773,0.04070
YMR004W,0.05394,0.01645,0.01455,0.01588
YMR005W,0.05781,0.01929,0.01815,0.02039
YMR006C,0.09507,0.02586,0.01908,0.03926
YMR007W,0.00511,0.00210,0.00135,0.00205
YMR008C,0.11561,0.03420,0.02700,0.03963
YMR009W,0.20920,0.07615,0.06267,0.07402
YMR010W,0.02182,0.00574,0.00545,0.00708
YMR011W,0.47012,0.07025,0.05991,0.17177
YMR012W,0.10310,0.03650,0.03372,0.03825
YMR013C,0.01369,0.00580,0.00536,0.00448
YMR014W,0.01829,0.00459,0.00448,0.00539
YMR015C,0.11285,0.03078,0.02291,0.06965
YMR016C,0.02256,0.00830,0.00438,0.00587
YMR017W,0.00453,0.00089,0.00077,0.00107
YMR018W,0.00438,0.00236,0.00224,0.00155
YMR019W,0.02661,0.01303,0.01158,0.01010
YMR020W,0.02325,0.00593,0.00450,0.00775
YML021C,0.02024,0.00473,0.00445,0.00620
YML020W,0.01980,0.00706,0.00606,0.00700
YML019W,0.06319,0.01733,0.01948,0.02176
YML018C,0.06973,0.01844,0.02072,0.03860
YML017W,0.00111,0.00114,0.00116,0.00087
YML016C,0.02245,0.00595,0.00646,0.00668
YML015C,0.04204,0.01489,0.01472,0.01580
YML014W,0.02844,0.00708,0.00491,0.00829
YML013W,0.01424,0.00537,0.00319,0.00582
YML013C-A,0.00115,0.00030,0.00026,0.00013
YML012W,0.43196,0.12102,0.10846,0.21775
YML011C,0.02863,0.01192,0.01241,0.00965
YML010W,0.04072,0.01585,0.01080,0.01603
YML010W-A,0.00226,0.00136,0.00140,0.00093
YML010C-B,0.00458,0.00218,0.00254,0.00220
YML009C,0.23454,0.09965,0.09546,0.10031
YML008C,0.56795,0.16663,0.10598,0.29860
YML007W,0.03733,0.01135,0.00884,0.01641
YML006C,0.04173,0.01809,0.01261,0.01452
YML005W,0.00621,0.00397,0.00262,0.00222
YML004C,0.15719,0.04934,0.04127,0.08653
YML046W,0.01097,0.00460,0.00400,0.00384
YML043C,0.00172,0.00076,0.00101,0.00077
YML042W,0.14931,0.16337,0.13695,0.06127
YML041C,0.03807,0.01332,0.01113,0.01230
YML038C,0.01344,0.00379,0.00367,0.00455
YML037C,0.00179,0.00063,0.00058,0.00060
YML036W,0.02475,0.00801,0.00965,0.00843
YML035C,0.01256,0.00388,0.00360,0.00379
YML035C-A,0.00012,0.00005,0.00024,0.00011
YML034W,0.00939,0.00257,0.00176,0.00340
YML033W,0.00422,0.00233,0.00179,0.00141
YML032C,0.04202,0.01585,0.01070,0.01532
YML032C-A,0.00151,0.00095,0.00083,0.00091
YML031W,0.02037,0.00868,0.00798,0.00712
YML030W,0.15281,0.04161,0.03885,0.07172
YML029W,0.01582,0.00408,0.00264,0.00605
YML028W,0.56120,0.32984,0.26773,0.41959
YML027W,0.01952,0.00962,0.00918,0.00802
YML026C,0.73761,0.32442,0.30165,0.47229
YML025C,0.05113,0.01680,0.01245,0.01519
YML024W,0.63167,0.25636,0.23495,0.35301
YML023C,0.01547,0.00735,0.00588,0.00549
YML022W,0.08762,0.02677,0.02955,0.03695
YML065W,0.00983,0.00321,0.00306,0.00290
YML064C,0.01017,0.00221,0.00265,0.00319
YML063W,0.28444,0.08554,0.10211,0.13692
YML062C,0.01716,0.00691,0.00581,0.00635
YML061C,0.02582,0.00773,0.00666,0.00944
YML060W,0.01009,0.00385,0.00275,0.00280
YML059C,0.01654,0.00712,0.00647,0.00697
YML058W,0.14536,0.06437,0.04712,0.06233
YML058C-A,0.00038,0.00013,0.00009,0.00030
YML057W,0.01080,0.00437,0.00416,0.00451
YML056C,0.02200,0.00526,0.00667,0.01077
YML055W,0.04364,0.01550,0.01465,0.01652
YML054C,0.64000,0.19199,0.18270,0.26644
YML053C,0.15594,0.05120,0.05079,0.08796
YML052W,0.24722,0.09855,0.07786,0.11853
YML051W,0.01505,0.00813,0.00826,0.00602
YML050W,0.00702,0.00328,0.00311,0.00328
YML049C,0.02887,0.00877,0.00769,0.01132
YML048W,0.07304,0.01661,0.01260,0.02986
YML048W-A,0.00274,0.00071,0.00064,0.00091
YML047C,0.00168,0.00033,0.00025,0.00033
YML088W,0.00999,0.00421,0.00293,0.00410
YML087C,0.01595,0.00744,0.00736,0.00607
YML086C,0.06296,0.02926,0.02254,0.02149
YML085C,0.12092,0.03980,0.03496,0.04893
YML084W,0.00021,0.00004,0.00007,0.00002
YML083C,0.00061,0.00034,0.00026,0.00010
YML082W,0.01641,0.00406,0.00388,0.00404
YML081W,0.01991,0.00925,0.00796,0.00661
YML080W,0.01812,0.00614,0.00621,0.00511
YML079W,0.02076,0.00992,0.00852,0.00695
YML078W,0.21460,0.09322,0.09332,0.08993
YML077W,0.05316,0.01531,0.01554,0.02575
YML076C,0.01722,0.00838,0.00608,0.00607
YML075C,0.35067,0.14848,0.10891,0.22437
YML074C,0.08946,0.03498,0.03059,0.03320
YML073C,0.21650,0.08409,0.07764,0.10389
YML072C,0.06894,0.02273,0.01752,0.02681
YML071C,0.02423,0.01260,0.00999,0.01447
YML070W,0.06076,0.02199,0.01708,0.02291
YML069W,0.08675,0.02986,0.02838,0.04230
YML068W,0.01413,0.00547,0.00551,0.00507
YML067C,0.04218,0.01982,0.01778,0.01899
YML066C,0.00194,0.00058,0.00090,0.00057
YML108W,0.00445,0.00154,0.00182,0.00126
YML107C,0.02931,0.01354,0.01142,0.00899
YML106W,0.30604,0.11419,0.10867,0.15253
YML105C,0.04041,0.01448,0.01408,0.01652
YML104C,0.02808,0.01478,0.01321,0.01093
YML103C,0.01106,0.00449,0.00438,0.00352
YML102W,0.07118,0.02261,0.01539,0.01819
YML102C-A,0.00044,0.00063,0.00019,0.00037
YML101C,0.12702,0.05492,0.04326,0.04250
YML100W,0.07051,0.03578,0.02254,0.04520
YML100W-A,0.00494,0.00282,0.00233,0.00259
YML099C,0.00774,0.00305,0.00304,0.00298
YML098W,0.01787,0.00401,0.00461,0.00781
