,MA_020,MA_023,MA_027,MA_030,MA_032,MA_034
YIL047C,0.00005,0.00002,0.00001,0.00004,0.00003,0.00002
YIL048W,0.00018,0.00016,0.00015,0.00019,0.00020,0.00024
YIL050W,0.00005,0.00003,0.00006,0.00007,0.00011,0.00007
YIL051C,0.00116,0.00109,0.00154,0.00120,0.00122,0.00125
YIL052C,0.00002,0.00001,0.00002,0.00003,0.00003,0.00003
YIL053W,0.00010,0.00006,0.00012,0.00012,0.00015,0.00018
YIL054W,0.00007,0.00003,0.00009,0.00007,0.00010,0.00009
YIL055C,0.00022,0.00018,0.00025,0.00020,0.00022,0.00025
YIL056W,0.00040,0.00017,0.00035,0.00020,0.00015,0.00020
YIL057C,0.00003,0.00002,0.00002,0.00003,0.00005,0.00003
YIL058W,0.00076,0.00064,0.00085,0.00093,0.00110,0.00118
YIL059C,0.00070,0.00055,0.00053,0.00059,0.00062,0.00061
YIL061C,0.00001,0.00000,0.00001,0.00000,0.00001,0.00000
YIL062C,0.00004,0.00004,0.00010,0.00014,0.00015,0.00014
YIL063C,0.00061,0.00040,0.00110,0.00121,0.00126,0.00124
YIL064W,0.00044,0.00012,0.00051,0.00036,0.00031,0.00039
YIL065C,0.00002,0.00001,0.00002,0.00001,0.00000,0.00002
YIL066C,0.00025,0.00017,0.00023,0.00013,0.00013,0.00008
YIL066W-A,0.00241,0.00224,0.00264,0.00240,0.00271,0.00267
YIL067C,0.00002,0.00001,0.00003,0.00002,0.00004,0.00004
YIL068C,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001
YIL068W-A,0.00451,0.00141,0.00500,0.00333,0.00297,0.00361
YIL069C,0.00002,0.00001,0.00001,0.00004,0.00004,0.00004
YIL070C,0.00008,0.00002,0.00003,0.00005,0.00005,0.00003
YIL071C,0.00026,0.00025,0.00041,0.00035,0.00037,0.00035
YIL071W-A,0.00373,0.00162,0.00318,0.00263,0.00231,0.00276
YIL072W,0.00181,0.00145,0.00178,0.00169,0.00136,0.00154
YIL073C,0.00374,0.00396,0.00354,0.00419,0.00383,0.00387
YIL074C,0.00010,0.00006,0.00015,0.00019,0.00014,0.00015
YIL075C,0.00090,0.00044,0.00064,0.00065,0.00057,0.00065
YIL076W,0.00001,0.00000,0.00002,0.00001,0.00000,0.00001
YIL077C,0.00026,0.00028,0.00038,0.00059,0.00066,0.00065
YIL078W,0.00007,0.00003,0.00010,0.00009,0.00010,0.00010
YIL079C,0.00022,0.00022,0.00013,0.00021,0.00016,0.00020
YIL082W,0.00846,0.00768,0.00811,0.00799,0.00841,0.00836
YIL083C,0.00008,0.00009,0.00014,0.00010,0.00010,0.00011
YIL084C,0.00013,0.00018,0.00017,0.00021,0.00022,0.00021
YIL085C,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000
YIL086C,0.00013,0.00007,0.00013,0.00020,0.00016,0.00015
YIL087C,0.00035,0.00023,0.00043,0.00041,0.00039,0.00038
YIL088C,0.00002,0.00001,0.00003,0.00002,0.00002,0.00001
YIL089W,0.00057,0.00038,0.00079,0.00057,0.00052,0.00069
YIL090W,0.00005,0.00001,0.00005,0.00002,0.00002,0.00001
YIL091C,0.00104,0.00047,0.00108,0.00080,0.00073,0.00071
YIL092W,0.00073,0.00055,0.00100,0.00066,0.00074,0.00080
YIL093C,0.00002,0.00002,0.00003,0.00005,0.00004,0.00001
YIL094C,0.00005,0.00003,0.00005,0.00005,0.00005,0.00006
YIL095W,0.00516,0.00266,0.01004,0.00877,0.01051,0.01092
YIL096C,0.00019,0.00008,0.00027,0.00018,0.00020,0.00018
YIL097W,0.00018,0.00003,0.00048,0.00026,0.00028,0.00033
YIL098C,0.00007,0.00004,0.00006,0.00006,0.00006,0.00005
YIL099W,0.00010,0.00012,0.00014,0.00022,0.00026,0.00024
YIL100C-A,0.00010,0.00005,0.00016,0.00030,0.00036,0.00032
YIL100W,0.00011,0.00009,0.00006,0.00005,0.00008,0.00009
YIL101C,0.00019,0.00016,0.00040,0.00130,0.00161,0.00178
YIL102C-A,0.00007,0.00004,0.00005,0.00004,0.00004,0.00005
YIL102C,0.00043,0.00037,0.00036,0.00035,0.00028,0.00031
YIL103W,0.00665,0.00691,0.00684,0.00783,0.00796,0.00708
YIL104C,0.00001,0.00001,0.00000,0.00000,0.00001,0.00002
YIL105C,0.00003,0.00004,0.00008,0.00007,0.00008,0.00006
YIL105W-A,0.00463,0.00191,0.00427,0.00275,0.00238,0.00265
YIL106W,0.00028,0.00006,0.00036,0.00022,0.00025,0.00024
YIL107C,0.00005,0.00004,0.00007,0.00014,0.00018,0.00019
